,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
64,2026-05-12,SH603369,-0.040485307574272156,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
65,2026-05-12,SH603392,-0.0927741676568985,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
66,2026-05-12,SH603501,-0.03645525872707367,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
67,2026-05-12,SH688256,0.03876402974128723,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
68,2026-05-12,SH688223,-0.09808074682950974,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
69,2026-05-12,SH688187,0.09771880507469177,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
70,2026-05-12,SH688169,-0.00659662950783968,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
71,2026-05-12,SH688126,-0.10515347123146057,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
72,2026-05-12,SH688111,-0.08047633618116379,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
73,2026-05-12,SH688082,-0.027407120913267136,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
74,2026-05-12,SH688047,-0.020920660346746445,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
75,2026-05-12,SH688041,-0.13041439652442932,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
76,2026-05-12,SH688036,-0.04185929521918297,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
77,2026-05-12,SH688012,0.012761926278471947,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
78,2026-05-12,SH688009,-0.0046154470182955265,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
79,2026-05-12,SH688008,-0.2762070298194885,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
80,2026-05-12,SH605499,-0.035734668374061584,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
81,2026-05-12,SH605117,-0.016016308218240738,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
82,2026-05-12,SH603993,-0.04556569457054138,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
83,2026-05-12,SH603986,-0.10632593184709549,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
84,2026-05-12,SH603893,0.0394277423620224,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
85,2026-05-12,SH603799,-0.09821861982345581,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
86,2026-05-12,SZ002001,0.023919913917779922,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
87,2026-05-12,SH601877,0.003322731237858534,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
88,2026-05-12,SZ002027,-0.030653534457087517,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
89,2026-05-12,SZ002049,-0.04009823501110077,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
90,2026-05-12,SZ300896,0.001789395697414875,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
91,2026-05-12,SZ300866,-0.05606605485081673,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
92,2026-05-12,SZ300832,-0.048411089926958084,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
93,2026-05-12,SZ300803,-0.12605783343315125,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
94,2026-05-12,SZ300782,-0.005083884112536907,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
95,2026-05-12,SZ300760,0.012699933722615242,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
96,2026-05-12,SZ300759,-0.019505653530359268,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
97,2026-05-12,SZ300750,0.00589347630739212,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
98,2026-05-12,SZ300979,0.02597251534461975,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
99,2026-05-12,SZ300661,-0.06596440821886063,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
100,2026-05-12,SZ300502,-0.05570090562105179,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
101,2026-05-12,SZ300498,-0.03238997980952263,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
102,2026-05-12,SZ300476,-0.09795276820659637,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
103,2026-05-12,SZ300442,0.009519337676465511,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
104,2026-05-12,SZ300433,-0.16611023247241974,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
105,2026-05-12,SZ300418,-0.0695233941078186,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
106,2026-05-12,SZ300413,-0.0070818099193274975,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
107,2026-05-12,SZ300408,0.01996772363781929,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
